time,ax,ay,az,aT
5.0680,-1.6502,-2.3521,-4.3137,5.183
5.0710,-1.7698,-2.4263,-4.4029,5.330
5.0780,-1.7277,-2.3361,-4.1159,5.038
5.0870,-1.5490,-2.3178,-3.8485,4.752
5.1090,-1.2994,-2.3991,-4.1326,4.952
5.1110,-1.2636,-2.4380,-4.2864,5.091
5.2040,-1.2691,-2.5386,-4.3898,5.227
5.2070,-1.1855,-2.6460,-4.4667,5.325
5.2080,-1.1215,-2.7700,-4.3355,5.266
5.2100,-1.1047,-2.8203,-4.1850,5.166
5.2120,-1.0122,-2.7887,-3.9882,4.971
5.2140,-1.0541,-2.7337,-3.7955,4.795
5.2150,-1.3343,-2.5838,-3.1326,4.274
5.2170,-1.6060,-2.6517,-2.5761,4.031
5.2180,-1.7968,-2.7714,-1.8302,3.776
5.2190,-1.9730,-2.8060,-0.8419,3.532
5.2210,-1.9166,-2.6842,-0.0226,3.298
5.2300,-1.8135,-2.4972,0.4354,3.117
5.2380,-1.7449,-2.3157,0.6169,2.964
5.2670,-1.7608,-2.3493,0.5783,2.992
5.2680,-1.6625,-2.2824,0.2083,2.831
5.2700,-1.4553,-2.0480,-0.2675,2.527
5.2770,-1.4402,-1.8601,-0.5981,2.427
5.3190,-1.8428,-1.9306,-0.7720,2.778
5.3210,-2.5692,-2.1371,-0.7233,3.419
5.3220,-3.1362,-2.1621,-0.7125,3.875
5.3230,-3.2297,-1.7944,-0.6737,3.756
5.3260,-2.7349,-1.3023,-0.6957,3.108
5.3460,-1.8316,-0.8579,-0.6590,2.127
5.3680,-0.9061,-0.6652,-0.3138,1.167
5.3690,-0.2753,-0.7340,0.0598,0.786
5.3710,0.1533,-1.0137,0.2764,1.062
5.3760,0.6416,-1.0908,0.2928,1.299
